model,N,prompt_id,gamma,arm,step_locus,baseline_outcome,outcome,p_correct,delta_p,needle_rank,needle_mass,prompt_hash
meta-llama/Llama-3.2-1B,65536,0,1,baseline,all,CORRECT,CORRECT,0.26038,0.0,1475.2,0.0187,172a8c63721d
meta-llama/Llama-3.2-1B,65536,1,1,baseline,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00337,0.0,861.8,0.0059,59a7a7d97190
meta-llama/Llama-3.2-1B,65536,1,4,needle,all,WRONG_NEEDLE,CORRECT,0.43584,0.43247,861.8,0.0059,59a7a7d97190
meta-llama/Llama-3.2-1B,65536,1,16,needle,all,WRONG_NEEDLE,CORRECT,0.92425,0.92088,861.8,0.0059,59a7a7d97190
meta-llama/Llama-3.2-1B,65536,1,16,competitor,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00004,-0.00333,861.8,0.0059,59a7a7d97190
meta-llama/Llama-3.2-1B,65536,2,1,baseline,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00357,0.0,1210.6,0.0068,33ada069f789
meta-llama/Llama-3.2-1B,65536,2,4,needle,all,WRONG_NEEDLE,CORRECT,0.12920,0.12563,1210.6,0.0068,33ada069f789
meta-llama/Llama-3.2-1B,65536,2,16,needle,all,WRONG_NEEDLE,CORRECT,0.90077,0.89719,1210.6,0.0068,33ada069f789
meta-llama/Llama-3.2-1B,65536,2,16,competitor,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00017,-0.00340,1210.6,0.0068,33ada069f789
meta-llama/Llama-3.2-1B,65536,3,1,baseline,all,CORRECT,CORRECT,0.87026,0.0,1042.3,0.0318,5179fc60cf6a
meta-llama/Llama-3.2-1B,65536,4,1,baseline,all,WRONG_NEEDLE,WRONG_NEEDLE,0.01641,0.0,1582.7,0.0076,abd68a9caabc
meta-llama/Llama-3.2-1B,65536,4,4,needle,all,WRONG_NEEDLE,CORRECT,0.38121,0.36480,1582.7,0.0076,abd68a9caabc
meta-llama/Llama-3.2-1B,65536,4,16,needle,all,WRONG_NEEDLE,CORRECT,0.80796,0.79156,1582.7,0.0076,abd68a9caabc
meta-llama/Llama-3.2-1B,65536,4,16,competitor,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00201,-0.01439,1582.7,0.0076,abd68a9caabc
meta-llama/Llama-3.2-1B,65536,5,1,baseline,all,CORRECT,CORRECT,0.19967,0.0,529.3,0.0190,82dc33dde3a0
meta-llama/Llama-3.2-1B,65536,6,1,baseline,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00234,0.0,1219.1,0.0040,8d4c5cc56f5b
meta-llama/Llama-3.2-1B,65536,6,4,needle,all,WRONG_NEEDLE,WRONG_NEEDLE,0.01564,0.01330,1219.1,0.0040,8d4c5cc56f5b
meta-llama/Llama-3.2-1B,65536,6,16,needle,all,WRONG_NEEDLE,CORRECT,0.42896,0.42662,1219.1,0.0040,8d4c5cc56f5b
meta-llama/Llama-3.2-1B,65536,6,16,competitor,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00012,-0.00222,1219.1,0.0040,8d4c5cc56f5b
meta-llama/Llama-3.2-1B,65536,7,1,baseline,all,CORRECT,CORRECT,0.60982,0.0,1655.6,0.0509,1316e31615ad
meta-llama/Llama-3.2-1B,65536,8,1,baseline,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00209,0.0,1296.5,0.0034,74bdbcdf994e
meta-llama/Llama-3.2-1B,65536,8,4,needle,all,WRONG_NEEDLE,WRONG_NEEDLE,0.02744,0.02534,1296.5,0.0034,74bdbcdf994e
meta-llama/Llama-3.2-1B,65536,8,16,needle,all,WRONG_NEEDLE,CORRECT,0.56635,0.56426,1296.5,0.0034,74bdbcdf994e
meta-llama/Llama-3.2-1B,65536,8,16,competitor,all,WRONG_NEEDLE,WRONG_NEEDLE,0.00091,-0.00119,1296.5,0.0034,74bdbcdf994e
meta-llama/Llama-3.2-1B,65536,9,1,baseline,all,CORRECT,CORRECT,0.01801,0.0,495.8,0.0180,7aa461e5e5af
